,index,id,createdTime,fields_Web,fields_Original Source,fields_Owner_id,fields_Owner_email,fields_Owner_name,fields_Urban Tech Screening,fields_Sniff Test Notes,fields_Company,fields_Total Investment,fields_Number of Employees backup,fields_Number of Employees,fields_Sub-category (linked),fields_Latitude,fields_Business Address,fields_Category (linked),fields_Employees,fields_Year Founded,fields_Location,fields_Contact Email,fields_Longitude,fields_categorization notes,fields_Category,fields_Survey Sent,fields_Sub-category,fields_Metadata Sources + Notes,fields_Contact Name,fields_Position,fields_Survey Response,fields_Year Acquired or Dissolved,fields_Valuation at Acquisition,fields_Revenue/Budget,fields_Form,fields_Keywords,fields_Pre-Publish Review,fields_Social Media
42,253,recC83tRMXDqPTAer,2021-10-28T16:22:26.000Z,www.navjoyinc.com,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Navjoy is a leader in the selection, validation, and implementation of technology for public and private transportation agencies.
",Navjoy,,,,['receBXbN6odOQUuS7'],39.7213194,"301 Commercial Road (Next to CDOT CTMC), Suite B, Golden, Colorado 80401, US",['receyB6jWwnjSbV8a'],101-250,2003.0,Manhattan,Communication@navjoyinc.com,-105.1910523,,['Mobility Systems'],2022-03-02,['Mobility Systems: Traffic informatics'],,,,,,,,,"Government, Public Transportation, Analytics",,
43,254,recC9weASKrtR0WR7,2021-10-19T17:31:41.000Z,https://funnelleasing.com,,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Customer-centric leasing for leasing offices, including self-guided and virtual tours, and an app to take care of the entire leasing process
",Funnel,38600000.0,79,79.0,['recXTrODcFXkbucO3'],40.7428043,"150 WEST 22ND STREET, 8TH FLOOR NEW YORK NY 10011",['recdgZhrJxyjqLAb9'],51-100,2010.0,Manhattan,info@funnel.io,-73.99602639999999,renter-centric AI-powered lead management software ,['Building Systems'],2022-03-01,['Building Systems: Property Management'],"address from SEC
",,,,,,,,,,
44,255,recCALC14LfzZqBT5,2021-11-02T17:52:45.000Z,https://grouphugtech.com,NYC EDC,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"We make ridiculously good looking solar panels that are easy to use. (seen on shark tank, backed by mark cuban, expanded to every state in the US)
",Grouphug,,1,1.0,['recDZbMMMp5QJXXpQ'],40.64770499999999,"517 45th St, 3rd FL Brooklyn, NY, 11220-1306 United States",['recoxnv8QKuu7vlwx'],1-10,2018.0,Manhattan,,-74.00677300000001,,['Energy Systems'],,['Energy Systems: Renewables'],"Not able to find total investment $ 
",,,,,,75000.0,https://grouphugtech.com/pages/contact,"Solar Panels, Small-scale, E-commerce, Appliances, Manufacturer",,
45,263,recCSE5feuWi6v42f,2022-01-10T16:54:08.000Z,https://www.arcadis.com/en-us,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Dutch multi-national, big NYC office, $53 million contract with DEP to support resiliency work
",Arcadis,,"10,000+",,['recCYxgacqCMvP8Nb'],40.7508189,"27-01 Queens Plaza N, Long Island City, NY 11101",['recHuk1pvKzYmvRFG'],500+,1888.0,Queens,,-73.9387435,,['Innovation Systems'],,"['Innovation Systems:  Design, Engineering, and Planning Services']","How many in NYC office and where is it?
",,,,,,,https://www.arcadis.com/en-us/contact#office-search-result_country=United%20States,,,
46,266,recCdY840pI6RwgvA,2021-10-19T16:14:11.000Z,https://urbantechnyc.com/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"The economic development corporation for NYC.
",New York City Economic Development Corporation: Urbantech NYC,,26,26.0,['recTxg8F0FeUTZcU5'],40.70972159999999,"1 Liberty St, New York, NY 10006",['recHuk1pvKzYmvRFG'],11-50,1991.0,Manhattan,urbantechnyc@edc.nyc,-74.01080619999999,,['Innovation Systems'],2022-03-01,['Innovation Systems: Networking'],"?? number of folks on urban tech-related stuff
",,,"Just to clarify, Urbantech NYC is a project within a division within an organization, so just wanted to clarify that we’re only talking about that project team specifically? I

Just want to make sure we avoid any confusion in outside observers assuming EDC was founded in 2016, and only has 26 employees, and if you are interested in a subgroup within EDC, I also want to make sure I’m clear on which subgroup that is (Urbantech NYC team has never had 26 employees, so wondering if the original unit of analysis was the entire department?).

Thanks for all the great work you’re doing in this space.

----

Think just calling EDC broadly urban tech is right — provides enabling infrastructure for the sector (and/or the canvas for it), that characterization won’t offend any sensibilities, and is at least mostly right. Also much easier than going hyper-granular (to the level of project basis).

I think right now we have around 500 employees total. If you need more specific # let me know.

EDC is a story of incarnations and iterations, so feel free to take your pick in terms of founding date — 
\- 1966: New York City Public Development Corporation, born to resuscitate flagging economy and manage industrial parks/urban planning services (I’d use this one)
\- 1979: Financial Services Corporation founded in parallel to PDC but more focused on capital than land (this is also where NYCIDA was born)
\- 1991: NYC Economic Development Corporation created when PDC and FSC merged into single entity as part of City plan to consolidate various providers of economic development services (this is first time the name came about and all services under one roof)


",,,,,,,
47,268,recCkcYG63Gkdkz2P,2021-11-05T07:37:18.000Z,https://bcdi.nyc/innovation,NYC EDC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Community-focused makerspace. The Bronx Cooperative Development Initiative (BCDI) is a community-led effort to build an equitable, sustainable, and democratic local economy that creates wealth and ownership for low-income people of color—what we call economic democracy.
",Bronx Innovation Factory,,8,8.0,['recuDsRljHOP7xwHK'],40.8614561,"2431 Morris Ave, Bronx, NY 10468",['reca3rMDOoKHI3hPh'],1-10,2011.0,Bronx,,-73.9003139,[!!!] economic development organization to build economic democracy,['Education Systems'],,['Education Systems: Tech Training'],,,,,,,,https://bcdi.nyc/contact,,,
48,275,recDBc3hamGW6jK8V,2021-10-19T15:37:35.000Z,https://ioby.org/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Platform focused on connecting local leaders with crowdfunding for projects.
",ioby,,23,23.0,['recE9ehRLZIohhipt'],40.6773028,"540 President St, Brooklyn, NY 11215",['recRDZqf1tuLAXPKP'],11-50,2008.0,Brooklyn,hello@ioby.org,-73.9853445,,['Civic Systems'],2022-03-01,['Civic Systems: Engagement'],,,,,,,4200000.0,,,,
49,283,recDSYfK8YAh3H471,2021-10-19T18:25:56.000Z,https://www.kwant.ai/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Company focused on adding sensors to existing industrial and construction tech to enable predictive analytics.
",Kwant.ai,903000.0,4,4.0,['rec1HjG8ErJDBzk43'],40.7536344,"335 Madison Ave, Floor 4, New York, NY, 10017-4675",['recdgZhrJxyjqLAb9'],1-10,2018.0,Manhattan,,-73.97814819999999,,['Construction Systems'],,['Construction Systems: Construction Management'],,,,,,,656618.0,,"Construction Optimization, Predictive Analytics",,
50,286,recDW2czfy37MOlti,2021-10-11T13:52:40.000Z,https://architizer.com/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Architecture news site with awards and job postings.
",Architizer,14000000.0,56,56.0,['recTxg8F0FeUTZcU5'],40.703809,"1 Whitehall Street, 10th Floor, New York, NY 10004, US",['recHuk1pvKzYmvRFG'],51-100,2009.0,Manhattan,support@architizer.com,-74.01279339999999,portfolio media site for architects,['Innovation Systems'],2022-03-01,['Innovation Systems: Networking'],,,,,,,,,,,
51,289,recDg1HpEepuiMSPi,2022-01-05T20:22:37.000Z,https://www.doordash.com/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,,Doordash,2500000000.0,,,,40.7447995,"125 W 25th St #4th New York, NY 10001",['receyB6jWwnjSbV8a'],500+,2013.0,Manhattan,,-73.99276909999999,,"['Food Systems', 'Logistics Systems']",,['Food Systems:  Delivery'],,,,,,,,https://ir.doordash.com/resources/contact-us/default.aspx,,,
52,290,recDgSMd2SiqtA6OO,2021-10-26T19:21:05.000Z,https://carto.com,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Spatial data analytics. The leading cloud native Location Intelligence platform.
",Carto,31000000.0,180,180.0,['recKd0KOVz9BhWPMt'],40.7466387,"307 5th Ave, New York, New York 10016, US",['rece3dYUKHXpHhEkU'],101-250,2012.0,Brooklyn,info@carto.com,-73.9853967,location intelligence platform for spatial analysis,['Information Systems'],2022-03-01,['Information Systems: Location Intelligence'],,,,,,,,,,,
53,296,recE1T5FHiZoTaWGP,2022-01-05T20:22:37.000Z,https://forcetherapeutics.com/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,,Force Therapeutics,26200000.0,,,['recMJWRcaTmDI987X'],40.7383312,"29 E 19th Street, 7th Floor, New York, NY 10003, US",['reca3rMDOoKHI3hPh'],101-250,2010.0,Manhattan,support@forcetherapeutics.com,-73.9891152,,['Health Systems'],2022-03-03,['Health Systems: Hybrid Telehealth'],,,,,,,,,,,
54,297,recE1t1TEjOZZHkW1,2022-01-05T20:22:37.000Z,https://www.metaprop.vc/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Proptech investors
",MetaProp NYC,,,,['rec9YdIfEpeflVrvZ'],40.7543811,"214 West 39th Street, #705, New York, NY 10018, US",['recHuk1pvKzYmvRFG'],1-10,2015.0,Manhattan,info@metaprop.vc,-73.9893231,,['Innovation Systems'],2022-03-03,['Innovation Systems: Investing'],"VENTURE CAPITAL FIRM
",,,,,,,,,,
55,302,recE9m8wSG02DUevF,2022-01-05T20:22:37.000Z,https://stae.co/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Provides streamlined data workflows for public agencies
",Stae,3000000.0,5,5.0,['recSgHDqDvtFe7D6x'],,comment: NYC but Nneka said detroit?,['recRDZqf1tuLAXPKP'],1-10,2015.0,Manhattan,we@stae.co,,,['Civic Systems'],2022-03-03,['Civic Systems: Data + Media Platforms'],"
",,,,,,,,,,
56,313,recEUQbwCT9abxB9Y,2022-01-05T20:22:37.000Z,https://www.procore.com/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"no presence in NYC it seems though
",Procore,650000000.0,2708,2708.0,['rec1HjG8ErJDBzk43'],40.75416," 521 5th Ave 22nd floor, New York, NY 10175",['recdgZhrJxyjqLAb9'],500+,2003.0,Manhattan,support@procore.com,-73.97979699999999,,['Construction Systems'],2022-03-03,['Construction Systems: Construction Management'],"Employee range and count: LinkedIn. 
",,,,,,,,,,
57,316,recEdVoVrWumxFdkY,2021-11-02T02:03:34.000Z,https://www.revercare.com,,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"ReverCare helps families navigate care for their elderly loved ones. AT nothing specifically urban here -  JL : seems more like a concierge for elders, not really under any of the current subs


",Revercare,150000.0,2,2.0,['rec1Fb2i8tWTBB8wH'],40.7546836,"2 W Loop Rd, New York, NY 10044",['reca3rMDOoKHI3hPh'],1-10,2018.0,Manhattan,info@revercare.com,-73.9561878,,['Health Systems'],2022-03-02,,,,,,,,,,,,
58,323,recEolvk1phmUBIf9,2022-01-05T20:22:37.000Z,https://kadence.co/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"hybrid work environment

",Kadence,16900000.0,,,['recVC3ZXCuU3trkwt'],40.7038978,"195 Plymouth St., 6/4, Brooklyn, New York, NY 11201, US",['rec5CKA579ehIVo7b'],11-50,2013.0,Brooklyn,hello@kadence.co,-73.9854363,,['Labor Systems'],2022-03-03,['Labor Systems: Hybrid Solutions'],"HQ in SF: ZIP 95117
",,,,,,,,,,
59,325,recF2FJdNT6e9X5an,2021-11-02T18:43:25.000Z,https://www.latch.com,,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Latch is a fully integrated hardware and software solution that's making multifamily buildings better places to live, work, and visit.
",Latch,342000000.0,439,439.0,['rec3hVUb0uifxVbD5'],40.75368539999999,"508 West 26th Street Suite 6G New York, NY 10001 United States",['recdgZhrJxyjqLAb9'],251-500,2014.0,Manhattan,press@latch.com,-73.9991637,"operating system for smart home products, specialized in locks",['Building Systems'],2022-03-02,['Building Systems: Facilities Management'],,,,,,,,,,,
60,327,recF6WKgQCyPvXtQb,2021-10-26T16:24:29.000Z,https://www.avvir.io,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Analysis for reality capture data and BIM in construction to identify risks and slowdowns, automated progress tracking
",Avvir,12600000.0,34,34.0,['rec1HjG8ErJDBzk43'],40.7535575,"335 Madison Ave, New York, NY 10017",['recdgZhrJxyjqLAb9'],11-50,2017.0,Manhattan,hello@avvir.io,-73.9781361,,['Construction Systems'],2022-03-01,['Construction Systems: Construction Management'],,,,,,,3910000.0,,"Construction Optimization, Progress Tracking",,
61,336,recFRHfaQfP86QTXg,2022-01-06T19:56:49.000Z,https://commonwealventures.com/,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"New VC focused on infrastructure and urban, run by NAte Loewenthiel.		
",Commonweal Ventures,50000000.0,,,['rec9YdIfEpeflVrvZ'],40.7351956,"201 E 17th Street, New York, NY, 10003",['recHuk1pvKzYmvRFG'],1-10,2021.0,Manhattan,admin@commonwealventures.com,-73.9853559,both venture financing and political capital (access to politic people),['Innovation Systems'],2022-03-03,['Innovation Systems: Investing'],"
",Nathaniel Loewentheil,,,,,,,,,
62,340,recFeY4ZeJasMGaj8,2022-01-05T20:22:37.000Z,https://imagen.ai/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,,Imagen Technologies,135000000.0,,,['recMJWRcaTmDI987X'],40.7456676,"151 W 26th St, New York, New York 10001, US",['reca3rMDOoKHI3hPh'],51-100,2015.0,Manhattan,info@imagen.ai,-73.9932066,,['Health Systems'],2022-03-03,['Health Systems: Hybrid Telehealth'],,,,,,,,,,,
63,342,recFoWd8fKdSd36td,2021-10-19T16:42:37.000Z,https://perlstreet.com/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Streamlines investments in technology and hardware projects by providing data driven transparency for investors and comprehensive fundraising guidance for startups.
",Perl Street,2000000.0,2,2.0,['recIVqNPj8v27K5yO'],40.7135213,"200 Vesey Street 24th Floor New York, NY 10281",['recdgZhrJxyjqLAb9'],1-10,2018.0,Manhattan,team@perlstreet.com,-74.015072,,['Building Systems'],2022-03-01,['Building Systems: Infrastructure & Asset Management'],"website, not investors
",,,,,,,,,,
64,350,recGFJNSB0nzNG653,2021-10-26T16:40:27.000Z,https://www.swtchenergy.com,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Scalable, end-to-end EV charging & energy management solutions
",Swtch,5000000.0,,,['rec7Giua9uNBNO1s1'],40.6929116,"370 Jay Street, 7th Floor Brooklyn, NY 11201 United States",['receyB6jWwnjSbV8a'],11-50,2016.0,Brooklyn,,-73.98746129999999,,['Mobility Systems'],,['Mobility Systems: EV Infrastructure'],,,,,,,,,"EV, Charging Infrastructure",,
65,356,recGn9iaRD7eMNHfA,2022-01-05T20:22:37.000Z,https://www.f6s.com/fairfareinc,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,,FairFare Inc,400000.0,,,['recFdD4KnUimyaKUC'],40.7535575,"335 Madison Ave, New York, US",['receyB6jWwnjSbV8a'],1-10,2015.0,Manhattan,hello@fairfare.nyc,-73.9781361,,['Mobility Systems'],2022-03-03,['Mobility Systems: TransitTech'],,Adero Davis,CEO,,,,,,,,https://www.linkedin.com/in/aderodavis/
66,360,recHFBoLb07VUswbz,2022-01-05T20:22:37.000Z,https://www.oracle.com/index.html,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"they have a decent engineering presence here in NYC
",Oracle,,,,['recUwmBtQkN1prgeh'],40.7405489,"315 Park Avenue South 8th Floor New York, NY 10010",['recRDZqf1tuLAXPKP'],500+,1977.0,Manhattan,,-73.9855549,,['Civic Systems'],,['Civic Systems: GovTech'],,,,,,,,,,,
67,370,recHih4ZAhdf84U3H,2021-10-26T20:28:05.000Z,https://amperon.co/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Amperon is a provider of smart meters to deliver real-time energy data forecasts.
",Amperon,10000000.0,20,20.0,['rec31GwmRDlkBUANu'],40.75365730000001,"335 Madison Ave, 4th Floor  New York, NY 10017",['recoxnv8QKuu7vlwx'],11-50,2017.0,Manhattan,info@amperon.co,-73.9782445,,['Energy Systems'],2022-02-28,['Energy Systems: Grid'],,,,"Name: Amperon
Business Address: 335 Madison Ave, 4th Floor New York, NY 10017
Year Founded: 2017
Employment Range: 11-50
Number of Employees: 20
Total Investment: 10M


",,,,,"Grid-scale Load Forecast, Weather Forecast",,
68,372,recHlIGqOo9BC3Y1v,2022-01-13T13:58:13.000Z,http://urbansystemslab.com/people,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,,"Urban Systems Lab, The New School",,17,17.0,['recKRq9wisBEpQYsw'],40.73703039999999,"79 5th Avenue, 16th Floor, New York, NY 10003",['recHuk1pvKzYmvRFG'],11-50,2015.0,Manhattan,urbansystemslab@newschool.edu ,-73.99250669999999,,['Innovation Systems'],2022-03-03,['Innovation Systems: Applied Research'],"website team list
",,,"Thanks for including us.
The correct name is Urban Systems Lab, The New School 
",,,,,,,
69,383,recIIC4nLXLh2Evnn,2022-01-05T20:22:37.000Z,https://www.techdad.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"TechDad provides thoughtful solutions for your digital life.
Automation, Entertainment, Wellness, Video Conferencing, Managed IT.
",TechDad,,,,['recVC3ZXCuU3trkwt'],40.743592,"119 West 23rd Street Suite 404, New York, NY 10011",['rec5CKA579ehIVo7b'],11-50,2013.0,Manhattan,care@techdad.com,-73.99332849999999,,['Labor Systems'],2022-03-03,['Labor Systems: Hybrid Solutions'],"Address from website. No funding information found.
",,,,,,,,,,
70,387,recIaKKeOuZF2JNP5,2021-11-02T17:45:24.000Z,www.urban-x.com,NYC EDC,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Incubator in Greenpoint. VIP.
",Urban-X,,19,19.0,['recg3IwW4njNc0Qdp'],40.7246788,"29 Norman Avenue , Brooklyn, NY 11215 ",['recHuk1pvKzYmvRFG'],11-50,2016.0,Brooklyn,hello@urban-x.com,-73.9548791,,['Innovation Systems'],2022-03-02,['Innovation Systems: Accelerators & Incubators'],,,,,,,,,,,
71,388,recIfB4pofTgkaCGm,2021-10-26T19:53:55.000Z,https://www.radiatorlabs.com/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Radiator Labs is solving a 100-year-old problem: the lack of comfort and efficiency in steam-heated buildings. The Radiator Labs Cozy is a smart, internet-connected, thermostatic cover for radiators.    Buildings outfitted with Cozys save up to 45% on heating costs, and users with Cozys are able to control their heating temperatures for the first time in the history of steam-heated buildings.
",Radiator Labs,4300000.0,9,9.0,['recxoYfGUZEqppDaZ'],40.6984715,"63 Flushing Ave Building 292, Suite 409 Brooklyn, NY 11205",['recoxnv8QKuu7vlwx'],1-10,2011.0,Brooklyn,marshall@radiatorlabs.com,-73.9777647,modernize radiators to save energy and allow temp control through app,['Energy Systems'],2022-03-02,['Energy Systems: Buildings'],,Marshall Cox,CEO and Founder,,,,888280.0,,"HVAC Product, Thermal Comfort, Building Performance, Retrofit",,
72,390,recInLXkoMs9qdYpW,2022-01-05T20:22:37.000Z,https://marketproof.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"### **New Development & Condo Intelligence**

",Marketproof,,,,['recXTrODcFXkbucO3'],40.7027681,"68 Jay St Suite 512, Brooklyn, NY 11201",['recdgZhrJxyjqLAb9'],1-10,2017.0,Brooklyn,kael@marketproof.com,-73.987062,,['Building Systems'],2022-03-03,['Building Systems: Property Management'],"Address from website. Employees from LinkedIn + Crunchbase. No data on funding. 
",Kael Goodman,President and CEO,,,,,,,,
73,393,recIvsUYxvEQxiZaL,2021-10-19T15:54:18.000Z,https://www.blocpower.io/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Company focused on adding smart, efficient heating and cooling systems to buildings. BlocPower utilizes its proprietary software for analysis, leasing, project management, and monitoring of urban clean energy projects and its customers are saving 20-40% on their energy bills each year.
",BlocPower,81400000.0,74,74.0,['recxoYfGUZEqppDaZ'],40.6984589,"63 Flushing Ave Bldg 212, Suite 507, Brooklyn, NY 11205",['recoxnv8QKuu7vlwx'],51-100,2014.0,Brooklyn,Info@blocpower.io,-73.97775589999999,,['Energy Systems'],2022-03-01,['Energy Systems: Buildings'],,,,,,,,,"Building Performance, All-electric",,
74,398,recJAQS7EZJHx6DPA,2021-10-26T16:36:24.000Z,https://www.nyas.org/landing/urban-infrastructure-systems/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Program on Sustainable Urban Infrastructure Systems <https://www.nyas.org/landing/urban-infrastructure-systems/>
",New York Academy of Sciences: Urban Infrastructure Systems,,,,['recTxg8F0FeUTZcU5'],40.7134166,"250 Greenwich Street, 40th floor, New York, NY 10007",['recHuk1pvKzYmvRFG'],1-10,2021.0,Manhattan,nyas@nyas.org,-74.0119311,,['Innovation Systems'],2022-03-01,['Innovation Systems: Networking'],"n.b. indicates urban tech-related program staffing
",,,,,,,,,,
75,401,recJQj4sQvIEmpnV1,2022-01-05T20:22:37.000Z,https://www.olo.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"Think of Olo as the interface between restaurants and the on-demand world. We connect the dots for happy customers outside the four walls.
",Olo,184500000.0,,,['recRmZEGi4RvhgsfE'],40.7127431,"285 Fulton Street, New York, NY 1007",['recEhjg8dnMkICv2w'],101-250,2005.0,Manhattan,hello@olo.com,-74.0133795,,['Food Systems'],2022-03-03,['Food Systems:  Delivery'],"Address from Bloomberg. Employees and funding from Crunchbase.
",,,,,,,,,,
76,404,recJaSgUcsXBODK0Q,2021-10-19T16:58:10.000Z,https://www.localize.city/,NYC EDC,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Curated rental platform focusing on specific areas of New York City.
",Localize.city,75000000.0,140,140.0,['recpqZAbOMUsb5rTl'],40.7474262,"35 W 31st St, 6th floor, New York, New York 10001, US",['recdgZhrJxyjqLAb9'],101-250,2016.0,Manhattan,hey@localize.city,-73.9875328,"use AI to streamline house hunting/buying process
",['Housing Systems'],2022-03-01,"['Housing Systems: Listings, Referral & Brokerage']",,,,,,,,,,,
77,406,recJgWQg1THmAZCoI,2022-01-05T20:22:37.000Z,https://sitecompli.com/,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,"NYC property managers’ #1 choice for preventing violations, performing required inspections, and getting more done, every day
",SiteCompli,,,,['rec3hVUb0uifxVbD5'],40.7393401,"22 W 19th St 8th Floor, New York, NY 10011",['recdgZhrJxyjqLAb9'],11-50,2008.0,Manhattan,PR@sitecompli.com,-73.9928918,,['Building Systems'],2022-03-03,['Building Systems: Facilities Management'],"Address from website. No funding info. Employee count from Crunchbase + LinkedIn.
",,,,,,,,,,
78,414,recJyvbiA5wLprXoQ,2021-11-02T03:05:56.000Z,http://multimerdata.com,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Multimer is a location analytics system that supports human-centered spatial design and decisions.
",Multimer,,2,2.0,['recrSVGURn4rHAspL'],40.7371449,"41 Union Square West, New York, NY 1003",['recRDZqf1tuLAXPKP'],1-10,2014.0,Manhattan,,-73.99072869999999,location analytics system using biosensor data for insights on human space usage,['Civic Systems'],,['Civic Systems: Public Space Tech'],"linkedin
",,,,,,,https://dukodestudio.com/multimere/contact-us/,,,
79,417,recK99g6ZeJ7nZykE,2022-01-05T20:22:37.000Z,https://www.morty.com/,TechNYC,usrhiRWAamSYqjkQ2,jy726@cornell.edu,Jinglun Yu,Passed,"Online mortgage broker
",Morty,36500000.0,,,['recpqZAbOMUsb5rTl'],40.72746860000001,"180 Varick Street, Suite 816, New York, NY, 10014",['recdgZhrJxyjqLAb9'],11-50,2015.0,Manhattan,hello@morty.com,-74.00528419999999,,['Housing Systems'],2022-03-03,"['Housing Systems: Listings, Referral & Brokerage']",,,,,,,,,,,
80,418,recKDGCYJfHzQtf0M,2022-01-05T20:22:37.000Z,https://www.freshdirect.com/help/delivery_info_express.jsp,TechNYC,usr2qPunnCed2lMv6,lk545@cornell.edu,Lars Kouwenhoven,Passed,,FreshDirect,,,,['recRmZEGi4RvhgsfE'],40.80129,"2 St Ann's Ave, Bronx, NY 10454",['recEhjg8dnMkICv2w'],500+,1998.0,Bronx,,-73.9192879,,['Food Systems'],,['Food Systems:  Delivery'],"Not entirely sure what to do with this record. AT I say include it since they are one of few in Bronx and a hometown hero
",,,,,,,,,,
81,441,recLy4ZzIXn07hd2V,2021-10-19T17:43:15.000Z,https://www.kettleos.com/,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Provides a platform that enables organisations to build and manage smart hybrid work models
",KettleSpace,,31,31.0,['recVC3ZXCuU3trkwt'],40.7459414,"132 W 27th St, New York, New York 10001, US",['rec5CKA579ehIVo7b'],11-50,2016.0,Manhattan,hello@kettlespace.com,-73.9926978,work experience platform operating system for hybrid workspace,['Labor Systems'],2022-03-01,['Labor Systems: Hybrid Solutions'],,,,,,,,,,,
82,450,recMNy68PhAzq5EuO,2021-10-26T19:40:51.000Z,https://uniteus.com,,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Collaboration and coordination software for the delivery of health and social services.
",Unite Us,195300000.0,800,800.0,['rec1Fb2i8tWTBB8wH'],40.7117094,"217 Broadway floor 8, New York, NY 10007",['reca3rMDOoKHI3hPh'],500+,2013.0,Manhattan,support@uniteus.com,-74.0086978,,['Health Systems'],2022-03-01,['Health Systems: Social Care'],,,,,,,61500000.0,,,,
83,451,recMQsa6miZ36BrtL,2021-10-19T16:39:50.000Z,https://www.closedlooppartners.com,NYC EDC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Research and Innovation Center of Closed Loop Partners, a New York-based investment firm specialising in the circular economy
",Closed Loop Partners,,,,['rec9YdIfEpeflVrvZ'],40.7652747,"888 7th Ave, 10th Floor, New York NY 10106",['recHuk1pvKzYmvRFG'],51-100,2014.0,Manhattan,,-73.9807922,,['Innovation Systems'],,['Innovation Systems: Investing'],"linked in says 41
",,,,,,,https://www.closedlooppartners.com/about-us/contact-us/,,,
84,465,recNEQoI4qwPekinU,2021-11-02T16:15:49.000Z,https://www.rts.com,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"RTS partners with local, independent haulers and outfits vehicles with proprietary routing technology that streamlines collection routes and keeps in constant communication with individual pickup sites.
",Recycle Track Systems,51700000.0,90,90.0,['rec2TASDEPEVAhNDY'],40.758558,"477 Madison Ave Suite 600, New York, NY 10022",['recb7WeB0tStkTUq8'],51-100,2014.0,Manhattan,info@rts.com,-73.9746236,,['Waste Systems'],2022-03-02,['Waste Systems: Sanitation Services'],"linkedin, website, crunchbase
",,,,,,,,,,
